start_jst,home_away,opponent,week,season_type
2008-11-25 10:30,away,NO,12,REG
2008-12-01 03:00,home,CAR,13,REG
2008-12-08 03:00,home,HOU,14,REG
2008-12-15 03:00,away,JAX,15,REG
2008-12-23 10:30,away,CHI,16,REG
2008-12-29 03:00,home,DET,17,REG
2009-09-14 09:20,home,CHI,1,REG
2009-09-21 02:00,home,CIN,2,REG
2009-09-28 02:00,away,STL,3,REG
2009-10-06 09:30,away,MIN,4,REG
2009-10-19 02:00,home,DET,6,REG
2009-10-26 02:00,away,CLE,7,REG
2009-11-02 06:15,home,MIN,8,REG
2009-11-09 03:00,away,TB,9,REG
2009-11-16 06:15,home,DAL,10,REG
2009-11-23 03:00,home,SF,11,REG
2009-11-27 02:30,away,DET,12,REG
2009-12-08 10:30,home,BAL,13,REG
2009-12-14 03:00,away,CHI,14,REG
2009-12-21 06:15,away,PIT,15,REG
2009-12-28 03:00,home,SEA,16,REG
2010-01-04 06:15,away,ARI,17,REG
2010-01-11 06:30,away,ARI,18,WC
2010-09-13 05:15,away,PHI,1,REG
2010-09-20 02:00,home,BUF,2,REG
2010-09-28 09:30,away,CHI,3,REG
2010-10-04 02:00,home,DET,4,REG
2010-10-11 02:00,away,WAS,5,REG
2010-10-18 02:00,home,MIA,6,REG
2010-10-25 09:20,home,MIN,7,REG
2010-11-01 02:00,away,NYJ,8,REG
2010-11-08 10:20,home,DAL,9,REG
2010-11-22 03:00,away,MIN,11,REG
2010-11-29 03:00,away,ATL,12,REG
2010-12-06 03:00,home,SF,13,REG
2010-12-13 03:00,away,DET,14,REG
2010-12-20 10:20,away,NE,15,REG
2010-12-27 06:15,home,NYG,16,REG
2011-01-03 06:15,home,CHI,17,REG
2011-01-10 06:30,away,PHI,18,WC
2011-01-16 10:00,away,ATL,19,DIV
2011-01-24 05:00,away,CHI,20,CON
2011-02-07 08:30,home,PIT,21,SB
2011-09-09 09:30,home,NO,1,REG
2011-09-19 02:00,away,CAR,2,REG
2011-09-26 05:15,away,CHI,3,REG
2011-10-03 05:15,home,DEN,4,REG
2011-10-10 09:20,away,ATL,5,REG
2011-10-17 02:00,home,STL,6,REG
2011-10-24 05:15,away,MIN,7,REG
2011-11-07 06:15,away,SD,9,REG
2011-11-15 10:30,home,MIN,10,REG
2011-11-21 03:00,home,TB,11,REG
2011-11-25 02:30,away,DET,12,REG
2011-12-05 06:15,away,NYG,13,REG
2011-12-12 06:15,home,OAK,14,REG
2011-12-19 03:00,away,KC,15,REG
2011-12-26 10:20,home,CHI,16,REG
2012-01-02 03:00,home,DET,17,REG
2012-01-16 06:30,home,NYG,19,DIV
2012-09-10 05:25,home,SF,1,REG
